id,completiontime,pagesubmitp,pagesubmit1,pagesubmit2,pagesubmit3,pagesubmit4,submissiontime,agenum,gender,gencond,condition,decision1,decision2,decision3,decision4,risktaking,posout,posfeel,negout,negfeel,recipient,experiencedemotions,interaction,gloomy,eggplant,nyc,attentioncheck,validity,excluded,submissiontimestat,code,zre_1,zre_2,recipient_mc,experiencedemotions_mc
298,765,94.248,155.216,119.731,120.892,127.693,617.78,25,1,5,1,1,1,1,1,4,5,5,1,1,0,0,0,1,1,1,1,1,0,1,46etetwr7,1.23382866543106,1.23382866543106,0,0
307,1051,189.974,298.064,111.116,102.174,114.426,815.754,25,1,5,1,1,1,0,1,3,5,5,2,3,0,0,0,1,1,1,1,1,0,1,michelle9,0.748689531805936,0.748689531805936,0,0
315,1221,405.609,162.903,140.649,172.001,105.091,986.253,37,1,5,1,1,0,0,1,2,3,2,4,5,0,0,0,1,1,1,1,1,0,1,TR897DTR6,0.263550398180811,0.263550398180811,0,0
316,914,103.834,172.749,194.724,171.118,138.081,780.506,67,1,5,1,1,0,0,1,2,4,2,5,4,0,0,0,1,1,1,1,1,0,1,SpaFon2010,0.027021436478553,0.027021436478553,0,0
355,559,123.599,78.503,79.265,97.404,78.331,457.102,23,1,5,1,1,0,1,0,2,2,2,5,5,0,0,0,1,1,1,1,1,0,1,A2PXNSTBTS,0.263550398180811,0.263550398180811,0,0
365,1229,171.066,186.38,207.799,215.489,238.998,1019.732,33,1,5,1,1,0,1,1,3,5,6,2,1,0,0,0,1,1,1,1,1,0,1,AD155F90MK,0.27563160840142,0.27563160840142,0,0
394,1314,134.237,263.359,192.311,242.643,229.2,1061.75,45,1,5,1,1,0,0,1,2,4,4,5,5,0,0,0,1,1,1,1,1,0,1,8digetcode,0.263550398180811,0.263550398180811,0,0
395,788,85.498,147.361,123.959,110.013,130.161,596.992,33,1,5,1,1,0,0,1,2,4,4,5,2,0,0,0,1,1,1,1,1,0,1,19862358D,-0.446036486925963,-0.446036486925963,0,0
397,709,88.115,171.924,116.827,90.045,109.739,576.65,29,1,5,1,1,0,1,1,3,5,5,1,1,0,0,0,1,1,1,1,1,0,1,Ch1990Ch!,0.27563160840142,0.27563160840142,0,0
399,1079,114.883,186.063,184.13,184.154,189.382,858.612,44,1,5,1,1,1,0,0,2,5,4,5,4,0,0,0,1,1,1,1,1,0,1,Coffee2011,0.027021436478553,0.027021436478553,0,0
400,1153,734.962,71.919,78.67,73.66,64.668,1023.879,34,1,5,1,1,1,1,1,4,5,4,0,0,0,0,0,1,1,1,1,1,0,1,74839102T,0.997299703728802,0.99729970372880306,0,0
415,1485,169.572,214.154,406.353,301.917,239.318,1331.314,24,1,5,1,1,1,0,1,3,6,6,0,0,0,0,0,1,1,1,1,1,0,1,cumslut329,0.0391026466991614,0.0391026466991619,0,0
434,880,216.84,136.827,142.834,146.183,104.482,747.166,30,1,5,1,1,0,0,0,1,4,4,5,5,0,0,0,1,1,1,1,1,0,1,Michigan20,-0.694646658848829,-0.69464665884883,0,0
440,2549,115.912,334.433,1489.56,168.109,231.832,2339.846,28,1,5,1,0,0,1,1,2,4,4,5,4,0,0,0,1,1,1,1,1,0,1,A12345678,0.027021436478553,0.027021436478553,0,0
459,998,142.621,169.694,266.518,134.677,119.989,833.499,45,1,5,1,1,1,0,1,3,5,5,1,1,0,0,0,1,1,1,1,1,0,1,A1gha567,0.27563160840142,0.27563160840142,0,0
460,675,96.576,114.336,110.746,105.49,99.028,526.176,28,1,5,1,0,0,0,1,1,2,1,5,5,0,0,0,1,1,1,1,1,0,1,147agh9i3,-0.694646658848829,-0.69464665884883,0,0
461,997,107.952,190.208,171.723,183.34,184.914,838.137,23,1,5,1,1,0,0,0,1,4,3,5,4,0,0,0,1,1,1,1,1,0,1,azsxdcfvg7,-0.931175620551088,-0.931175620551088,0,0
487,819,141.537,208.237,160.136,156.216,69.191,735.317,34,1,5,1,1,1,1,1,4,6,6,1,1,0,0,0,1,1,1,1,1,0,1,rodentine1,1.23382866543106,1.23382866543106,0,0
497,2813,1272.052,147.843,168.627,237.114,193.586,2019.222,49,1,5,1,0,1,0,0,1,1,1,5,5,0,0,0,1,1,1,1,1,0,1,nn11nn11,-0.694646658848829,-0.69464665884883,0,0
502,1771,126.242,328.533,536.152,355.497,270.626,1617.05,35,1,5,1,1,0,1,1,3,5,3,3,1,0,0,0,1,1,1,1,1,0,1,A120584B,0.27563160840142,0.27563160840142,0,0
509,1309,139.033,222.728,242.11,279.805,206.098,1089.774,51,1,5,1,1,0,1,1,3,5,5,1,1,0,0,0,1,1,1,1,1,0,1,GoGetHer9,0.27563160840142,0.27563160840142,0,0
521,1376,390.361,276.785,213.093,199.677,211.188,1291.104,47,1,5,1,1,1,1,1,4,5,5,5,2,0,0,0,1,1,1,1,1,0,1,Nile6273,1.47035762713332,1.47035762713332,0,0
532,988,221.88,145.235,137.054,150.406,148.727,803.302,19,1,5,1,1,0,0,0,1,2,4,5,4,0,0,0,1,1,1,1,1,0,1,1Abracadab,-0.931175620551088,-0.931175620551088,0,0
539,1178,162.615,379.703,163.94,118.699,86.853,911.81,28,1,5,1,1,0,0,0,1,4,2,1,2,0,0,0,1,1,1,1,1,0,1,AA252624,-1.4042335439556,-1.4042335439556,0,0
564,960,169.491,177.973,121.499,170.618,131.577,771.158,48,1,5,1,1,1,1,1,4,3,3,3,1,0,0,0,1,1,1,1,1,0,1,CapnPZazz1,1.23382866543106,1.23382866543106,0,0
573,712,113.89,138.608,108.175,86.481,83.192,530.346,27,1,5,1,0,0,1,1,2,3,1,3,3,0,0,0,1,1,1,1,1,0,1,joseph15,-0.209507525223705,-0.209507525223705,0,0
576,1585,251.517,260.648,287.942,340.689,287.303,1428.099,36,1,5,1,0,0,1,1,2,4,5,3,4,0,0,0,1,1,1,1,1,0,1,october10,0.027021436478553,0.027021436478553,0,0
581,1427,489.074,249.789,162.93,169.728,198.377,1269.898,58,1,5,1,1,0,0,1,2,5,4,3,4,0,0,0,1,1,1,1,1,0,1,906SP914,0.027021436478553,0.027021436478553,0,0
589,1279,156.835,263.113,218.527,216.084,217.757,1072.316,21,1,5,1,1,1,1,1,4,4,5,3,1,0,0,0,1,1,1,1,1,0,1,wakefores1,1.23382866543106,1.23382866543106,0,0
638,1132,199.695,286.55,189.674,155.763,130.851,962.533,23,1,5,1,1,1,1,1,4,5,5,1,1,0,0,0,1,1,1,1,1,0,1,zxcvbnm1,1.23382866543106,1.23382866543106,0,0
